Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787333000,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787333001,10,,Aggregated,0.000000,0.000000,150,210,250,280,300,380,390,390,390,390,390,40,4,150,173.23032499989495,30.01219998986926,387.0712999923853,133.25
1787333002,20,,Aggregated,0.000000,0.000000,210,280,290,320,370,390,430,490,490,490,490,84,11,210,215.39973809610404,30.01219998986926,486.7188000062015,195.8095238095238
1787333003,30,,Aggregated,18.000000,1.000000,260,290,330,370,500,640,850,1500,1500,1500,1500,126,16,260,281.76505555674095,30.01219998986926,1496.5578000119422,206.26984126984127
1787333004,50,,Aggregated,35.500000,3.500000,290,380,450,500,800,1500,1700,1800,1800,1800,1800,166,19,290,404.84452951914795,30.01219998986926,1836.42960000725,235.7710843373494
1787333005,50,,Aggregated,37.333333,4.666667,360,590,790,890,1200,1700,2200,2300,2700,2700,2700,211,20,360,560.9385355458329,30.01219998986926,2696.072799997637,307.3981042654028
1787333006,50,,Aggregated,35.500000,4.250000,420,720,880,930,1300,1800,2200,2300,2700,2700,2700,239,22,420,615.2317430968343,30.01219998986926,2696.072799997637,337.9456066945607
1787333007,50,,Aggregated,35.000000,3.800000,530,790,900,1100,1500,1800,2300,2700,3900,3900,3900,280,27,500,689.391651429053,30.01219998986926,3917.2285000095144,341.525
1787333008,50,,Aggregated,36.166667,3.666667,600,860,1000,1100,1400,1800,2300,2700,3900,3900,3900,300,30,590,713.0023473336769,30.01219998986926,3917.2285000095144,370.88666666666666
1787333009,50,,Aggregated,36.857143,3.714286,710,930,1200,1300,1700,2100,3900,4000,4700,4700,4700,329,30,710,830.2399443773787,30.01219998986926,4732.981300010579,384.0364741641337
1787333010,50,,Aggregated,36.500000,3.500000,750,1000,1200,1300,1800,2300,4000,4700,4900,4900,4900,349,31,750,912.4204719201565,30.01219998986926,4909.844099995098,387.56160458452723
1787333011,50,,Aggregated,35.666667,3.333333,780,1200,1300,1600,2100,2600,4100,4900,6300,6300,6300,376,35,780,1016.8235484047243,30.01219998986926,6277.904600006877,422.4335106382979
1787333012,50,,Aggregated,33.600000,3.000000,830,1200,1500,1700,2300,2700,4100,4900,6300,6300,6300,396,37,800,1067.3083757579716,30.01219998986926,6277.904600006877,442.8611111111111
1787333013,50,,Aggregated,33.800000,3.000000,890,1300,1700,1800,2500,2800,4400,4900,6300,6300,6300,420,37,880,1145.9402790479846,30.01219998986926,6277.904600006877,468.45952380952383
1787333014,50,,Aggregated,30.500000,2.800000,920,1400,1700,1800,2500,3000,4700,4900,8200,8200,8200,447,39,920,1209.3992364657374,30.01219998986926,8218.819400004577,473.5950782997763
1787333015,50,,Aggregated,29.000000,2.300000,1100,1500,1700,1900,2400,2800,4700,4900,8200,8200,8200,486,42,1100,1249.0351627575253,30.01219998986926,8218.819400004577,475.10493827160496
1787333016,50,,Aggregated,28.700000,2.000000,1100,1500,1700,1900,2400,2700,4700,4900,8200,8200,8200,529,50,1100,1250.1591737243473,30.01219998986926,8218.819400004577,472.55198487712664
1787333017,50,,Aggregated,28.400000,2.100000,1200,1500,1700,1800,2400,2700,4400,4900,8200,8200,8200,565,52,1200,1256.7869865489286,30.01219998986926,8218.819400004577,494.89203539823006
1787333018,50,,Aggregated,28.600000,2.200000,1200,1500,1700,1800,2400,2700,4400,4900,8200,8200,8200,598,58,1200,1260.09000050189,30.01219998986926,8218.819400004577,500.13377926421407
1787333019,50,,Aggregated,27.100000,2.400000,1200,1500,1700,1900,2400,2700,4400,4900,8200,8200,8200,619,62,1200,1271.1648951536695,30.01219998986926,8218.819400004577,512.2407108239096
1787333020,50,,Aggregated,28.200000,2.700000,1200,1600,1700,1900,2400,2700,4400,4900,8200,8200,8200,628,62,1200,1283.1567587581842,30.01219998986926,8218.819400004577,517.9044585987261
1787333021,50,,Aggregated,27.700000,2.800000,1200,1600,1800,1900,2400,2800,4400,4900,8200,8200,8200,646,64,1200,1314.0035727556321,30.01219998986926,8218.819400004577,530.9566563467492
1787333022,50,,Aggregated,28.300000,3.200000,1300,1600,1900,2000,2500,3100,4400,4900,8200,8200,8200,675,68,1300,1375.2610527410138,30.01219998986926,8218.819400004577,549.2177777777778
1787333023,50,,Aggregated,28.400000,3.200000,1300,1700,1900,2100,2600,3100,4100,4700,8200,8200,8200,703,72,1300,1405.8661031297304,30.01219998986926,8218.819400004577,566.9288762446657
1787333024,50,,Aggregated,27.900000,3.100000,1300,1700,1900,2000,2600,3100,4100,4700,8200,8200,8200,741,77,1300,1412.4960213227082,30.01219998986926,8218.819400004577,583.4628879892038
1787333025,50,,Aggregated,27.300000,3.100000,1300,1700,1900,2100,2600,3100,4000,4700,8200,8200,8200,759,79,1300,1418.612139921122,30.01219998986926,8218.819400004577,595.4650856389986
1787333026,50,,Aggregated,28.300000,3.500000,1400,1700,1900,2100,2600,3100,4000,4700,8200,8200,8200,786,81,1300,1440.254732442924,30.01219998986926,8218.819400004577,616.7938931297709
1787333027,50,,Aggregated,28.200000,3.700000,1400,1700,2000,2100,2600,3100,4000,4700,8200,8200,8200,801,82,1400,1459.0210568041875,30.01219998986926,8218.819400004577,625.9925093632959
1787333028,50,,Aggregated,26.400000,3.600000,1400,1800,2000,2200,2700,3200,4000,4700,8200,8200,8200,819,83,1400,1486.9203930404597,30.01219998986926,8218.819400004577,633.2258852258852
1787333029,50,,Aggregated,25.700000,3.100000,1400,1800,2100,2300,2800,3200,4000,4700,8200,8200,8200,836,85,1400,1510.9925877991523,30.01219998986926,8218.819400004577,652.1363636363636
1787333030,50,,Aggregated,22.700000,2.700000,1500,1900,2100,2400,2800,3200,4000,4700,8200,8200,8200,857,88,1500,1540.4607040841627,30.01219998986926,8218.819400004577,673.6476079346558
1787333031,50,,Aggregated,22.100000,2.500000,1500,1900,2200,2400,3000,3300,4000,4700,8200,8200,8200,883,91,1500,1567.158243035246,30.01219998986926,8218.819400004577,684.6398640996603
1787333032,50,,Aggregated,21.700000,2.300000,1500,1900,2200,2400,3000,3200,4000,4700,8200,8200,8200,902,93,1500,1575.5965669624302,30.01219998986926,8218.819400004577,687.3082039911308
1787333033,50,,Aggregated,21.700000,2.500000,1500,1900,2200,2400,2900,3200,4000,4700,8200,8200,8200,931,96,1500,1593.2729069819268,30.01219998986926,8218.819400004577,711.4038668098818
1787333034,50,,Aggregated,22.800000,2.500000,1600,1900,2200,2400,2900,3200,3900,4700,8200,8200,8200,967,101,1600,1601.1552838677699,30.01219998986926,8218.819400004577,711.2409513960703
1787333035,50,,Aggregated,23.400000,2.500000,1600,1900,2200,2400,2900,3200,3900,4700,8200,8200,8200,995,104,1600,1599.9107494473812,30.01219998986926,8218.819400004577,714.1407035175879
1787333036,50,,Aggregated,21.900000,2.400000,1600,1900,2200,2400,2800,3200,3900,4700,6300,8200,8200,1017,108,1600,1599.6165311702687,30.01219998986926,8218.819400004577,732.5575221238938
1787333037,50,,Aggregated,22.600000,2.400000,1600,1900,2200,2400,2800,3200,3900,4700,6300,8200,8200,1048,109,1600,1612.6467326337395,30.01219998986926,8218.819400004577,743.2175572519084
