Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788108208,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788108209,10,,Aggregated,0.000000,0.000000,47,50,52,53,58,61,64,65,65,65,65,147,0,47,35.38016802728331,3.72399999469053,65.47440000576898,2800.394557823129
1788108210,30,,Aggregated,0.000000,0.000000,49,51,53,55,61,66,83,86,92,92,92,421,0,49,39.32623301679435,3.72399999469053,91.97350000613369,3042.562945368171
1788108211,40,,Aggregated,85.000000,0.000000,51,58,65,70,82,92,100,110,130,130,130,699,0,51,49.238137482154684,3.72399999469053,130.94979999004863,3519.692417739628
1788108212,50,,Aggregated,145.500000,0.000000,57,74,85,92,120,140,210,220,250,250,250,941,0,57,65.39580839532752,3.72399999469053,252.4375999928452,3541.564293304995
1788108213,50,,Aggregated,187.333333,0.000000,68,91,110,120,140,150,210,230,250,310,310,1194,0,68,76.89956407023661,3.72399999469053,306.06319999787956,3661.1926298157455
1788108215,50,,Aggregated,199.250000,0.000000,77,100,120,130,160,230,290,340,370,370,370,1350,0,77,89.59978162943756,3.72399999469053,372.8960000007646,3767.1007407407405
1788108216,50,,Aggregated,207.500000,0.000000,83,110,130,150,250,290,330,350,470,470,470,1475,0,83,105.57415084721978,3.72399999469053,470.5451999907382,3834.733559322034
1788108217,50,,Aggregated,192.857143,0.000000,90,120,150,170,270,300,340,350,470,470,470,1589,0,90,115.09230503439852,3.72399999469053,470.5451999907382,3871.6211453744495
1788108218,50,,Aggregated,179.750000,0.000000,97,130,170,220,300,340,390,420,470,480,480,1699,0,97,128.83305079437125,3.72399999469053,477.57889999775216,3914.7051206592114
1788108220,50,,Aggregated,172.222222,0.000000,100,140,200,250,310,360,420,460,530,550,550,1782,0,100,138.62728742963387,3.72399999469053,546.4753999985987,3949.7789001122333
1788108221,50,,Aggregated,163.000000,0.000000,110,160,230,260,330,410,440,470,530,550,550,1877,0,110,149.15567900883516,3.72399999469053,546.4753999985987,4011.1939264784232
1788108223,50,,Aggregated,127.700000,0.000000,110,180,250,280,370,440,500,690,1000,1100,1100,1952,0,110,164.18715404694518,3.72399999469053,1090.4767000029096,4036.5399590163934
