Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788108044,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788108045,10,,Aggregated,0.000000,0.000000,48,50,52,53,57,64,71,71,74,74,74,138,0,48,40.720031159108274,5.028400002629496,73.51139999809675,3228.108695652174
1788108046,20,,Aggregated,0.000000,0.000000,51,57,65,72,100,140,180,190,230,230,230,329,0,51,56.34545592707405,4.473900000448339,233.82380000839476,3361.209726443769
1788108047,30,,Aggregated,125.000000,0.000000,56,73,99,130,180,240,290,370,530,530,530,488,0,56,83.57276290976709,4.473900000448339,529.2537000059383,3549.8319672131147
1788108048,40,,Aggregated,150.500000,0.000000,63,99,150,180,280,370,490,740,840,840,840,607,0,63,118.7846614497388,4.473900000448339,842.0481000066502,3918.8797364085667
1788108049,50,,Aggregated,156.666667,0.000000,72,150,200,260,390,490,730,800,1400,1400,1400,692,0,72,154.38910158966112,4.473900000448339,1370.937600004254,3933.557803468208
1788108050,50,,Aggregated,146.000000,0.000000,80,170,270,330,480,680,940,1200,1700,1700,1700,761,0,80,193.66487818662645,4.473900000448339,1682.3019000003114,3826.478318002628
1788108051,50,,Aggregated,135.400000,0.000000,98,200,350,400,650,960,1300,1500,1800,1800,1800,825,0,98,246.10595721216998,4.473900000448339,1795.6112999963807,3969.286060606061
1788108052,50,,Aggregated,125.500000,0.000000,130,270,390,470,770,980,1400,1700,2000,2000,2000,904,0,130,280.99171980095815,4.473900000448339,1976.876100001391,4055.9933628318586
1788108053,50,,Aggregated,114.714286,0.000000,150,320,450,510,790,1000,1400,1700,2000,2000,2000,976,0,150,302.6779264345216,4.473900000448339,1976.876100001391,4058.809426229508
1788108054,50,,Aggregated,112.000000,0.000000,170,360,480,570,850,1100,1400,1700,1900,2000,2000,1058,0,170,324.7950954632827,4.473900000448339,1976.876100001391,4118.152173913043
1788108055,50,,Aggregated,106.333333,0.000000,180,370,490,620,930,1200,1400,1700,1900,2000,2000,1110,0,180,344.4916350452118,4.473900000448339,1976.876100001391,4242.320720720721
1788108056,50,,Aggregated,103.400000,0.000000,210,400,560,670,1000,1300,1600,1700,1900,2000,2000,1175,0,210,380.65654961721714,4.473900000448339,1976.876100001391,4325.543829787234
1788108057,50,,Aggregated,97.800000,0.000000,230,390,550,650,980,1300,1600,1700,1900,2000,2000,1307,0,230,378.2246074982161,4.473900000448339,1976.876100001391,4433.405508798775
1788108058,50,,Aggregated,85.000000,0.000000,260,410,570,670,980,1300,1600,1700,1900,2000,2000,1387,0,260,388.43839077149966,4.473900000448339,1976.876100001391,4466.886085075703
1788108059,50,,Aggregated,81.100000,0.000000,270,440,580,680,990,1300,1600,1700,1900,2000,2000,1449,0,270,395.53413719812426,4.473900000448339,1976.876100001391,4464.059351276743
