Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788444330,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788444331,10,,Aggregated,0.000000,0.000000,45,47,48,49,50,52,54,54,56,56,56,157,0,45,30.85203821664998,2.8491000048234127,55.709699998260476,643.3566878980891
1788444332,30,,Aggregated,0.000000,0.000000,47,49,52,53,60,67,74,81,83,83,83,427,0,47,35.65856932079465,2.8491000048234127,83.32510000036564,896.3091334894614
1788444333,40,,Aggregated,153.000000,0.000000,47,50,52,54,58,63,73,77,83,83,83,873,0,47,35.44406735390511,2.8491000048234127,83.32510000036564,1217.6632302405499
1788444334,50,,Aggregated,210.500000,0.000000,48,52,55,56,60,65,71,74,83,83,83,1402,0,48,37.46945877309568,2.8491000048234127,83.32510000036564,1415.701141226819
1788444335,50,,Aggregated,283.666667,0.000000,49,55,58,61,66,70,78,82,110,110,110,1932,0,49,40.943098498969476,2.8491000048234127,111.15470000368077,1623.2841614906831
1788444336,50,,Aggregated,341.000000,0.000000,50,57,61,62,67,72,80,88,110,110,110,2459,0,50,42.64367543715805,2.8491000048234127,114.23410000134027,1948.8800325335503
1788444337,50,,Aggregated,375.600000,0.000000,51,58,62,63,68,72,78,84,110,110,110,2992,0,51,43.654417112296876,2.8491000048234127,114.23410000134027,2211.129679144385
1788444338,50,,Aggregated,398.833333,0.000000,52,60,62,64,69,73,79,83,110,110,110,3506,0,52,44.612979691964604,2.8491000048234127,114.23410000134027,2547.9215630347976
1788444339,50,,Aggregated,416.285714,0.000000,53,60,63,65,69,73,81,89,110,120,120,4022,0,53,45.48774393337206,2.8491000048234127,117.08709999948042,2828.0512182993534
1788444340,50,,Aggregated,428.750000,0.000000,54,61,64,66,70,75,81,88,110,120,120,4503,0,54,46.53820339775385,2.8491000048234127,117.08709999948042,3172.6495669553633
1788444341,50,,Aggregated,437.000000,0.000000,55,62,65,67,72,78,85,93,120,130,130,4939,0,55,47.79540384694886,2.8491000048234127,134.11220000125468,3435.5371532698928
1788444342,50,,Aggregated,440.400000,0.000000,56,63,66,68,73,79,85,91,120,130,130,5401,0,56,48.60138396595806,2.8491000048234127,134.11220000125468,3812.989446398815
1788444343,50,,Aggregated,468.200000,0.000000,56,63,67,69,74,80,89,99,130,130,130,5836,0,56,49.52911694657804,2.8491000048234127,134.11220000125468,4248.253084304318
1788444344,50,,Aggregated,487.900000,0.000000,57,64,67,69,75,82,90,98,120,130,130,6285,0,57,50.26154507560922,2.8491000048234127,134.11220000125468,4629.642482100238
1788444345,50,,Aggregated,486.100000,0.000000,57,64,68,70,76,82,89,96,120,130,130,6760,0,57,50.67742085800614,2.8491000048234127,134.11220000125468,5124.388609467455
1788444346,50,,Aggregated,480.100000,0.000000,58,65,68,70,77,83,90,97,120,130,130,7201,0,58,51.31422751009045,2.8491000048234127,134.11220000125468,5467.936119983336
1788444347,50,,Aggregated,473.800000,0.000000,58,65,69,71,79,86,95,100,130,130,130,7564,0,58,52.3709257139167,2.8491000048234127,134.11220000125468,5779.797858276044
1788444348,50,,Aggregated,467.500000,0.000000,59,66,70,72,80,86,96,100,130,130,130,7987,0,59,53.04917960437602,2.8491000048234127,134.11220000125468,6107.350569675723
1788444349,50,,Aggregated,452.100000,0.000000,59,66,70,72,80,86,95,100,130,130,130,8456,0,59,53.2762666627257,2.8491000048234127,134.11220000125468,6509.112228003784
1788444350,50,,Aggregated,438.400000,0.000000,59,67,70,73,80,86,95,100,130,130,130,8921,0,59,53.529158984414636,2.8491000048234127,134.11220000125468,6949.273063557897
1788444351,50,,Aggregated,431.300000,0.000000,60,67,71,73,80,86,96,110,130,130,130,9358,0,60,53.906768689891734,2.8491000048234127,134.11220000125468,7290.523829878179
1788444352,50,,Aggregated,431.900000,0.000000,60,67,71,73,80,87,98,110,130,130,130,9790,0,60,54.30614188967296,2.8491000048234127,134.11220000125468,7608.630643513789
1788444353,50,,Aggregated,427.800000,0.000000,60,68,71,74,81,88,100,110,140,170,170,10197,0,60,54.82275789937806,2.8491000048234127,172.0082000028924,8045.100421692655
1788444354,50,,Aggregated,427.800000,0.000000,61,68,72,74,81,88,100,110,140,170,170,10635,0,61,55.0972623977438,2.8491000048234127,172.0082000028924,8559.85942642219
1788444355,50,,Aggregated,423.400000,0.000000,61,68,72,75,82,89,100,110,150,170,170,11062,0,61,55.56963232688735,2.8491000048234127,172.0082000028924,8847.077834026397
1788444356,50,,Aggregated,422.100000,0.000000,61,68,72,75,82,89,100,110,150,170,230,11508,0,61,55.87170129475473,2.8491000048234127,225.69170000497252,9296.084897462635
1788444357,50,,Aggregated,418.800000,0.000000,61,68,73,75,83,91,110,130,270,390,400,11912,0,61,56.96981184520764,2.8491000048234127,402.14739999646554,9728.48446944258
1788444358,50,,Aggregated,417.700000,0.000000,61,68,73,75,83,91,110,130,270,390,400,12413,0,61,56.975815789900786,2.8491000048234127,402.14739999646554,10175.564730524451
1788444359,50,,Aggregated,422.400000,0.000000,61,68,73,75,83,92,110,130,270,390,400,12906,0,61,57.11125967766742,2.8491000048234127,402.14739999646554,10560.60677204401
1788444360,50,,Aggregated,429.600000,0.000000,61,68,73,75,83,92,110,130,260,390,400,13419,0,61,57.09189905357841,2.8491000048234127,402.14739999646554,10951.056188985767
1788444361,50,,Aggregated,435.000000,0.000000,61,69,73,76,84,93,110,130,260,390,400,13900,0,61,57.43952064028129,2.8491000048234127,402.14739999646554,11412.046762589927
1788444362,50,,Aggregated,439.600000,0.000000,61,69,73,76,84,95,120,140,270,390,400,14293,0,61,58.2166437626686,2.8491000048234127,402.14739999646554,11769.633876722872
1788444363,50,,Aggregated,449.000000,0.000000,62,69,73,76,84,96,120,150,280,400,400,14773,0,62,58.429524666615954,2.8491000048234127,402.14739999646554,12029.134637514384
